station_id,count,station_area,station_name,%barren,%cropland,%forest,%grassland,%urban,%water,%wetland
02GA003,3882792,3515.273316,GRAND RIVER AT GALT,1.452820548,68.99890594,15.8328852,0.437803519,11.22022503,1.392657655,0.664702101
02GA005,187037,168.3303441,IRVINE RIVER NEAR SALEM,0.421307014,84.42607612,10.22311094,0.280158471,4.330693927,0.057742586,0.260910943
02GA010,1147557,1034.284598,NITH RIVER NEAR CANNING,0.571474881,80.61298916,11.65563018,0.220119785,6.140871434,0.549253763,0.249660801
02GA014,726457,663.0145449,GRAND RIVER NEAR MARSVILLE,0.48592002,74.80222505,15.94326987,0.79963439,4.165835005,2.085601763,1.717513907
02GA015,626627,567.859933,SPEED RIVER BELOW GUELPH,1.434824864,61.20451241,26.61695075,0.340074717,9.058498916,0.867342135,0.477796201
02GA016,861459,784.7567242,GRAND RIVER BELOW SHAND DAM,0.516681583,74.14572255,16.12415681,0.737005476,4.389181609,2.554967793,1.532284183
02GA018,603064,544.2440143,NITH RIVER AT NEW HAMBURG,0.282391255,84.99313506,9.894803868,0.195335818,4.272017564,0.238448987,0.12386745
02GA023,126712,114.0597169,CANAGAGIGUE CREEK NEAR ELMIRA,0.734737041,81.98197487,8.485384178,0.065502873,7.697771324,0.851537345,0.183092367
02GA024,65785,59.20546677,LAUREL CREEK AT WATERLOO,2.809151022,35.75283119,19.99087938,0.323782017,38.74895493,1.553545641,0.820855818
02GA028,628335,571.127968,CONESTOGO RIVER AT GLEN ALLAN,0.477452314,84.00884878,9.596154917,0.211988828,4.17532049,1.31203896,0.218195708
02GA029,253166,231.4866742,ERAMOSA RIVER ABOVE GUELPH,0.917184772,57.19567398,35.1050299,0.415932629,5.346689524,0.393417758,0.626071431
02GA030,52702,47.43054788,ALDER CREEK NEAR NEW DUNDEE,2.392698569,74.64991841,10.7434253,0.09487306,11.2614322,0.519904368,0.337748093
02GA031,44128,41.49590148,BLUE SPRINGS CREEK NEAR EDEN MILLS,1.803843365,47.73613125,44.56127629,0.657179115,4.387237128,0.231145758,0.623187092
02GA039,303645,274.714667,CONESTOGO RIVER ABOVE DRAYTON,0.517380494,87.22653098,7.365838397,0.173557938,4.095901464,0.315500008,0.305290718
02GA042,63975,60.38452387,MOOREFIELD CREEK NEAR ROTHSAY,0.501758499,83.23094959,12.12661196,0.21258304,3.621727237,0.068776866,0.23759281
02GA043,14610,13.14696105,HUNSBURGER CREEK NEAR WILMOT CENTRE,0.321697467,78.89117043,14.65434634,0.472279261,5.482546201,0.177960301,0
02GA044,4060,3.651637112,SILVER SPRING CREEK NEAR WILMOT CENTRE,0.886699507,74.75369458,15.96059113,1.379310345,6.748768473,0.270935961,0
02GA045,5352,4.821968377,HUNSBURGER CREEK NEAR HAYSVILLE,0,80.94170404,14.55530643,0,4.390881913,0.112107623,0
02GA046,1962,1.767928294,HUNSBURGER CREEK NEAR SCHINDELSTEDDLE,0,89.70438328,5.300713558,0,4.536187564,0.458715596,0
02GA047,841900,761.5877694,SPEED RIVER AT CAMBRIDGE,2.039790949,58.21914717,24.63463594,0.461337451,13.00783941,1.07483074,0.562418339
