Station,Station Name,Country,Watershed-Area,Latitude,Longitude,YR-MaxFlow-2014,Specific-YR-MaxFlow-2014,GM-MaxFlow-2014,Specific-GM-MaxFlow-2014,NGM-MaxFlow-2014,Specific-NGM-MaxFlow-2014,YR-MinFlow-2014,Specific-YR-MinFlow-2014,GM-MinFlow-2014,Specific-GM-MinFlow-2014,NGM-MinFlow-2014,Specific-NGM-MinFlow-2014,YR-MedianFlow-2014,Specific-YR-MedianFlow-2014,GM-MedianFlow-2014,Specific-GM-MedianFlow-2014,NGM-MedianFlow-2014,Specific-NGM-MedianFlow-2014,YR-Q95Flow-2014,Specific-YR-Q95-2014,GM-Q95Flow-2014,Specific-GM-Q95-2014,NGM-Q95Flow-2014,Specific-NGM-Q95-2014,YR-Q5Flow-2014,Specific-YR-Q5-2014,GM-Q5Flow-2014,Specific-GM-Q5-2014,NGM-Q5Flow-2014,Specific-NGM-Q5-2014,YR-BFI-2014,GM-BFI-2014,NGM-BFI-2014,YR-DOY-MaxFlow-2014,GM-DOY-MaxFlow-2014,NGM-DOY-MaxFlow-2014,YR-DOY-MinFlow-2014,GM-DOY-MinFlow-2014,NGM-DOY-MinFlow-2014,YR-RBI-2014,GM-RBI-2014,NGM-RBI-2014,YR-CVQ-2014,GM-CVQ-2014,NGM-CVQ-2014
02GA003,SYDENHAM RIVER NEAR ALVINSTON,Canada,701.1790315,42.83081,-81.85172,573,70.60564817,208,25.62997351,573,70.60564817,17.2,2.119401655,17.4,2.144045861,17.2,2.119401655,30.6,3.77056341,26.9,3.314645612,31.35,3.86297918,159.4,19.64143162,104.6,12.88891937,201.35,24.81055368,18.3,2.254944784,18.56,2.286982251,201.35,24.81055368,0.427122565,0.282889929,0.411784422,105,255,105,80,243,80,0.19,0.22,0.18,1.3354,0.8058,1.4097
02GA005,SYDENHAM RIVER AT FLORENCE,Canada,1149.322027,42.65061,-82.00839,70.5,5.299820117,37,2.781465877,70.5,5.299820117,0.01,0.000751748,0.052000001,0.003909087,0.01,0.000751748,1.04,0.078181744,0.62800002,0.047209747,1.345,0.101110043,11.76,0.8840551,5.28600008,0.397373753,23.75499955,1.785776234,0.093800003,0.007051392,0.2106,0.015831803,23.75499955,1.785776234,0.429159795,0.457882638,0.413397044,103,254,103,49,243,49,0.43,0.6,0.4,2.5508,2.1284,2.3216
02GA010,SYDENHAM RIVER AT STRATHROY,Canada,170.5938779,42.95886,-81.62714,182,92.1768131,90.800003,45.98711487,182,92.1768131,3.05,1.544721319,3.05,1.544721319,4.0900002,2.071446066,7.7399998,3.920046786,6.23,3.155283218,8.5750003,4.342946154,65.1600018,33.00132587,31.6799996,16.04484287,85.025003,43.06227369,3.94200008,1.996489036,3.54999994,1.797954291,85.025003,43.06227369,0.463894182,0.406176528,0.451769813,330,255,330,244,244,9,0.29,0.35,0.28,1.4201,1.0574,1.3838
02GA014,BEAR CREEK NEAR PETROLIA,Canada,248.7221028,42.90583,-82.11911,253,87.88603728,45.299999,15.73611621,253,87.88603728,0.60000002,0.208425392,0.60000002,0.208425392,1.78,0.618328642,4.4099998,1.531926509,2.78,0.965704283,6.20500015,2.155465907,41.8400002,14.53419691,18.68,6.488976982,65.47999965,22.74615688,0.968600008,0.336468049,0.737399992,0.256154795,65.47999965,22.74615688,0.426076988,0.480599347,0.415375597,103,254,103,167,167,76,0.33,0.44,0.32,2.2104,1.292,1.9781
02GA015,BEAR CREEK BELOW BRIGDEN,Canada,535.608101,42.81203,-82.29842,50.900002,8.210779793,26.799999,4.323160739,50.900002,8.210779793,1.97,0.317784589,1.97,0.317784589,3.02,0.487162161,5.3499999,0.863019044,3.7,0.596854303,5.79,0.933996329,20.199999,3.258501711,17.9800006,2.900389387,26.75,4.315095301,2.37199994,0.382631992,2.1820001,0.351982743,26.75,4.315095301,0.473531768,0.426398336,0.45339168,101,255,101,242,242,325,0.14,0.2,0.13,1.0081,0.8786,0.9869
02GA016,BLACK CREEK NEAR BRADSHAW,Canada,213.3575584,42.76244,-82.25922,225,91.11465348,47,19.03283873,225,91.11465348,2.8399999,1.150069363,4.2800002,1.733203267,2.8399999,1.150069363,6.1199999,2.478318534,6.5700002,2.660547962,6,2.429724093,39.600002,16.03617982,20.04,8.11527847,51.675001,20.92599915,4.21,1.704856405,4.31600008,1.747781563,51.675001,20.92599915,0.431173261,0.401598087,0.4008483,105,255,105,74,158,74,0.21,0.17,0.24,1.8802,0.759,1.9211
02GA018,LITTLE RIVER AT WINDSOR,Canada,55.2569403,42.30986,-82.9285,140,218.9046287,57.200001,89.43817844,140,218.9046287,0.47799999,0.747402931,0.47799999,0.747402931,1.28,2.001413748,3.26,5.09735064,2.25,3.518110104,3.745,5.855698818,32.500001,50.81714751,18.5200004,28.95795579,50.51499945,78.98547999,0.971600022,1.519198158,0.751600002,1.175205138,50.51499945,78.98547999,0.398212955,0.294215046,0.384926985,329,254,329,187,187,10,0.41,0.54,0.39,1.8064,1.4742,1.7178
02GA023,THAMES RIVER AT BYRON,Canada,3082.608824,42.9625,-81.33178,22.9,0.641845954,11.9,0.33353567,22.9,0.641845954,0.29499999,0.008268321,0.39500001,0.011071142,0.29499999,0.008268321,0.89499998,0.025085245,0.89499998,0.025085245,0.900000005,0.025225387,7.34400012,0.20583916,4.12200008,0.115532274,9.87750022,0.276848627,0.408799992,0.011457931,0.51899999,0.014546639,9.87750022,0.276848627,0.405485593,0.402078283,0.38461593,99,254,99,64,272,64,0.29,0.33,0.29,1.5708,1.1231,1.6059
02GA024,THAMES RIVER AT THAMESVILLE,Canada,4370.375881,42.54486,-81.96727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02GA028,DINGMAN CREEK BELOW LAMBETH,Canada,148.5857904,42.93411,-81.35131,202,117.4594149,37.200001,21.63114035,202,117.4594149,1.15,0.66870459,3.2,1.860743206,1.15,0.66870459,4.7399998,2.756225758,3.78,2.198002912,4.95500015,2.881244645,29.56,17.18861537,18.5,10.75742166,40.16499845,23.35523375,2.44800008,1.423468599,3.27,1.901446964,40.16499845,23.35523375,0.392711017,0.357546376,0.365711682,104,255,104,70,160,70,0.26,0.21,0.29,1.8886,0.847,1.9511
02GA029,THAMES RIVER NEAR DUTTON,Canada,3815.707943,42.73069,-81.57747,23.299999,0.527587526,14.2,0.321534043,23.299999,0.527587526,0.66799998,0.015125685,0.66799998,0.015125685,1.15,0.026039729,2.23,0.050494431,1.5599999,0.035323456,2.6199999,0.059325293,10.4,0.235489721,6.71,0.151936157,12.505,0.283153747,0.90180001,0.020419676,0.796000004,0.018024021,12.505,0.283153747,0.455331394,0.414854716,0.40734931,105,121,105,242,242,325,0.13,0.21,0.13,1.0847,0.9235,1.04
02GA030,MCGREGOR CREEK NEAR CHATHAM,Canada,203.7962393,42.3835,-82.09506,3.98,1.687332412,3.26,1.382086347,3.98,1.687332412,0.003,0.001271859,0.039999999,0.016958114,0.003,0.001271859,0.123,0.052146203,0.090999998,0.03857971,0.14300001,0.060625264,0.816999988,0.346369488,0.584800006,0.247927639,0.957850019,0.406083262,0.043000001,0.018229974,0.048,0.020349738,0.957850019,0.406083262,0.029618254,0.358518702,0.104993865,328,254,328,67,243,67,0.44,0.6,0.38,1.6468,1.6735,1.5909
02GA031,OXBOW CREEK NEAR KILWORTH,Canada,85.66296022,42.966,-81.41803,3.02,3.045983927,1.9,1.916347504,3.02,3.045983927,0.227,0.228953097,0.227,0.228953097,0.322,0.324770472,0.43599999,0.439751312,0.43599999,0.439751312,0.4365,0.440255624,1.576,1.589559824,1.294,1.305133511,1.72,1.734798793,0.29140001,0.293907201,0.261799994,0.264052508,1.72,1.734798793,0.479925535,0.480793645,0.452480133,99,121,99,244,244,325,0.1,0.14,0.1,0.7445,0.5948,0.8037
02GA039,THAMES RIVER NEAR EALING,Canada,1338.100895,42.97356,-81.20858,145,9.362522697,32.599998,2.10495325,145,9.362522697,0.111,0.007167173,0.111,0.007167173,0.197,0.012720117,1.4,0.090396771,0.91100001,0.058822471,1.93999995,0.125264094,19.0600008,1.230687518,8.78400004,0.567175171,30.53499955,1.971618113,0.217599992,0.01405024,0.1632,0.010537681,30.53499955,1.971618113,0.454691528,0.31029765,0.45092548,103,254,103,243,243,345,0.56,0.72,0.54,2.7585,1.9816,2.474
02GA043,MIDDLE THAMES RIVER AT THAMESFORD,Canada,262.4022353,43.05911,-80.99486,1.4400001,0.474142335,0.98900002,0.325643574,1.4400001,0.474142335,0.109,0.035889938,0.122,0.04017039,0.109,0.035889938,0.176,0.057950726,0.152,0.050048354,0.185,0.060914115,0.514400018,0.169374173,0.381400002,0.125581858,0.552200005,0.181820404,0.126,0.041487451,0.1256,0.041355745,0.552200005,0.181820404,0.471192893,0.417282999,0.454976813,328,254,328,44,187,44,0.24,0.3,0.2,0.7017,0.6307,0.714
02GA047,NORTH THAMES RIVER NEAR MITCHELL,Canada,315.3971446,43.45042,-81.20678,58.299999,15.97072136,35.099998,9.615305272,58.299999,15.97072136,3.3099999,0.906742487,3.3099999,0.906742487,4.7800002,1.309434864,7.8800001,2.158649881,5.6399999,1.545023472,8.36000015,2.290141256,26.0800008,7.144364201,23.3600006,6.399246431,32.60999855,8.933193984,3.9220001,1.074394028,3.726,1.020701695,32.60999855,8.933193984,0.466829226,0.47429047,0.46431789,101,255,101,243,243,325,0.13,0.2,0.11,0.8581,0.7594,0.8493
02GB001,NORTH THAMES RIVER NEAR THORNDALE,Canada,1323.296042,43.14931,-81.19214,686,44.78997754,309,20.17507735,686,44.78997754,24,1.566996299,24,1.566996299,24.200001,1.580054667,55.299999,3.610620573,43.299999,2.827122424,64.5,4.211302553,263.4,17.19778438,151.8,9.91125159,324.2,21.16750834,28.5400002,1.863419778,27.6600006,1.805963274,324.2,21.16750834,0.479461026,0.443126498,0.468165079,105,255,105,244,244,48,0.16,0.2,0.15,1.0524,0.7419,1.0407
02GB006,THAMES RIVER AT INGERSOLL,Canada,509.9464344,43.04128,-80.88617,19.700001,3.337762501,9.1999998,1.558751918,19.700001,3.337762501,0.27599999,0.046762557,0.27599999,0.046762557,0.62800002,0.106401767,1.23,0.208398359,1.03,0.174512447,1.355,0.229577054,6.29799994,1.067067359,4.75199996,0.805129262,10.915,1.849323647,0.480999992,0.081495617,0.32559999,0.055166263,10.915,1.849323647,0.471618274,0.463711321,0.453141043,93,256,93,244,244,41,0.23,0.26,0.23,1.2487,0.9808,1.2442
02GB008,THAMES RIVER AT INNERKIP,Canada,148.8551636,43.21531,-80.69186,35.700001,20.72135095,18.4,10.67991168,35.700001,20.72135095,0.85699999,0.497428489,0.85699999,0.497428489,1.6799999,0.975122313,2.96,1.718072748,2.48,1.439466357,3.1350001,1.819648053,15.68,9.101142125,10.88,6.315078209,20.80499955,12.07584552,1.482,0.860197234,1.05599994,0.612934027,20.80499955,12.07584552,0.483577237,0.484368901,0.472052874,93,143,93,243,243,274,0.19,0.25,0.18,1.0663,0.8628,1.0775
02GB010,REYNOLDS CREEK NEAR PUTNAM,Canada,145.1354907,42.98156,-80.95461,15.8,9.405831705,15.3,9.108178803,15.8,9.405831705,0.23100001,0.137515647,0.23100001,0.137515647,0.375,0.223239677,1.03,0.613164978,0.75700003,0.450646512,1.09,0.648883327,9.40000018,5.595874666,8.63399982,5.139870206,9.34749997,5.564620986,0.375199998,0.223358737,0.32120001,0.19121223,9.34749997,5.564620986,0.450404122,0.429708166,0.439038524,91,136,91,244,244,274,0.22,0.3,0.21,1.3226,1.5102,1.2114
02GC002,STONEY CREEK AT LONDON,Canada,37.32681254,43.022,-81.25344,79.599998,184.24932,40.799999,94.43934999,79.599998,184.24932,0.162,0.374979781,0.162,0.374979781,0.542,1.254561984,1.3200001,3.055391041,0.85500002,1.979060003,1.74,4.027560613,19.7599992,45.7382727,13.34,30.8779647,23.200001,53.70081049,0.33500001,0.775421176,0.2412,0.55830323,23.200001,53.70081049,0.441905658,0.351254992,0.445247165,328,254,328,241,241,50,0.63,0.79,0.6,1.854,2.092,1.6547
02GC006,KETTLE CREEK AT ST. THOMAS,Canada,330.8813688,42.77769,-81.214,18.799999,4.90907034,14,3.655690873,18.799999,4.90907034,1.65,0.430849281,1.65,0.430849281,2.25,0.587521747,3.9400001,1.028815886,3.3599999,0.877365783,4.17499995,1.090179229,12.46,3.253564877,9.59399966,2.505192642,13.2,3.446794252,2.212,0.577599158,1.906,0.4976962,13.2,3.446794252,0.481376049,0.454020781,0.469914851,81,144,81,243,243,46,0.12,0.13,0.13,0.6159,0.5634,0.611
02GC007,BIG CREEK NEAR DELHI,Canada,369.8316811,42.83772,-80.50989,29.299999,6.845059639,23,5.37325519,29.299999,6.845059639,3.22,0.752255727,3.22,0.752255727,4.8899999,1.142400754,6.7600002,1.579269833,5.4899998,1.282572605,7.2099998,1.684398646,19.8200002,4.630344302,15.9600004,3.728571956,21.03500045,4.914192406,3.9160001,0.914855124,3.5859999,0.837760547,21.03500045,4.914192406,0.445904204,0.361743439,0.419300767,80,144,80,242,242,276,0.1,0.1,0.1,0.5575,0.5741,0.5207
02GC008,BIG CREEK NEAR WALSINGHAM,Canada,566.7337733,42.68561,-80.53847,9.5500002,1.455921733,7.6199999,1.161688296,9.5500002,1.455921733,1.01,0.15397706,1.01,0.15397706,1.23,0.187516617,1.72,0.262218359,1.53,0.233252377,1.8,0.274414562,4.58199996,0.698537506,3.9479999,0.60188259,4.74400001,0.723234824,1.2,0.182943041,1.146,0.174710604,4.74400001,0.723234824,0.484177973,0.40210946,0.474501343,79,141,79,240,240,48,0.17,0.16,0.2,0.5719,0.5459,0.5724
02GC010,LYNN RIVER AT SIMCOE,Canada,143.7553595,42.82333,-80.28944,36.900002,22.17767869,16.4,9.85674555,36.900002,22.17767869,0.94800001,0.56976798,0.94800001,0.56976798,1.46,0.877490762,2.6600001,1.598716107,1.88,1.129919612,3.0699999,1.845134625,16.3600002,9.832704827,8.868,5.32985485,20.09500045,12.07751867,1.26,0.757286548,1.118,0.671941556,20.09500045,12.07751867,0.446120467,0.48841436,0.416764634,79,136,79,241,241,274,0.28,0.27,0.3,1.124,0.9664,1.0619
02GC011,BIG OTTER CREEK AT TILLSONBURG,Canada,354.1052234,42.85731,-80.72358,11.1,2.70834751,11.1,2.70834751,11,2.683947983,0.285,0.069538652,0.285,0.069538652,0.53299999,0.130049477,1.1799999,0.287914396,0.88499999,0.215935813,1.35,0.329393616,6.37200012,1.554737897,4.52199992,1.103346597,9.011000245,2.198641448,0.442199998,0.107894708,0.3682,0.089839059,9.011000245,2.198641448,0.477708907,0.479863453,0.46682078,143,143,80,243,243,48,0.25,0.29,0.24,1.0773,1.0331,1.0317
