Station,Station Name,Country,Watershed-Area,Latitude,Longitude,YR-MaxFlow-2018,Specific-YR-MaxFlow-2018,GM-MaxFlow-2018,Specific-GM-MaxFlow-2018,NGM-MaxFlow-2018,Specific-NGM-MaxFlow-2018,YR-MinFlow-2018,Specific-YR-MinFlow-2018,GM-MinFlow-2018,Specific-GM-MinFlow-2018,NGM-MinFlow-2018,Specific-NGM-MinFlow-2018,YR-MedianFlow-2018,Specific-YR-MedianFlow-2018,GM-MedianFlow-2018,Specific-GM-MedianFlow-2018,NGM-MedianFlow-2018,Specific-NGM-MedianFlow-2018,YR-Q95Flow-2018,Specific-YR-Q95-2018,GM-Q95Flow-2018,Specific-GM-Q95-2018,NGM-Q95Flow-2018,Specific-NGM-Q95-2018,YR-Q5Flow-2018,Specific-YR-Q5-2018,GM-Q5Flow-2018,Specific-GM-Q5-2018,NGM-Q5Flow-2018,Specific-NGM-Q5-2018,YR-BFI-2018,GM-BFI-2018,NGM-BFI-2018,YR-DOY-MaxFlow-2018,GM-DOY-MaxFlow-2018,NGM-DOY-MaxFlow-2018,YR-DOY-MinFlow-2018,GM-DOY-MinFlow-2018,NGM-DOY-MinFlow-2018,YR-RBI-2018,GM-RBI-2018,NGM-RBI-2018,YR-CVQ-2018,GM-CVQ-2018,NGM-CVQ-2018
02GA003,SYDENHAM RIVER NEAR ALVINSTON,Canada,701.1790315,42.83081,-81.85172,481,59.26931373,77.3,9.524985346,481,59.26931373,14.5,1.786704884,14.5,1.786704884,14.6,1.799026986,24.7,3.043559354,18.9,2.3288774,33.25,4.09709913,134.4,16.56090596,46.74,5.759350777,182.9,22.53712574,15.8,1.946892218,15.56,1.917319172,182.9,22.53712574,0.42439569,0.466923486,0.365793009,52,125,52,217,217,1,0.21,0.12,0.24,1.2964,0.4957,1.197
02GA005,SYDENHAM RIVER AT FLORENCE,Canada,1149.322027,42.65061,-82.00839,88.5,6.652965679,4.5700002,0.343548638,88.5,6.652965679,0.006,0.000451049,0.006,0.000451049,0.222,0.016688795,0.89600003,0.067356581,0.17,0.012779708,1.375,0.103365286,8.78600008,0.66048539,2.26599994,0.170345987,16.49500045,1.240007592,0.047399998,0.003563283,0.033600001,0.002525872,16.49500045,1.240007592,0.417543348,0.478870212,0.383049884,52,125,52,228,228,289,0.56,0.27,0.59,2.7239,1.5218,2.1786
02GA010,SYDENHAM RIVER AT STRATHROY,Canada,170.5938779,42.95886,-81.62714,313,158.5238599,26.299999,13.32005545,313,158.5238599,2.49,1.261100355,2.49,1.261100355,3.46,1.752372381,7.0700002,3.580714764,3.73,1.889118203,10.0199998,5.07478928,37.999998,19.24570722,11.68,5.915522951,49.04499935,24.83962494,2.746,1.390755653,2.5959999,1.314785701,49.04499935,24.83962494,0.446397044,0.449403091,0.430588766,53,125,53,197,197,292,0.32,0.16,0.36,1.6774,0.7067,1.4761
02GA014,BEAR CREEK NEAR PETROLIA,Canada,248.7221028,42.90583,-82.11911,244,84.75965651,26.299999,9.135979022,244,84.75965651,0.60900003,0.211551776,0.60900003,0.211551776,0.88599998,0.307774811,3.72,1.292237386,1.2,0.41685077,5.6299999,1.955724827,36.1600008,12.56110347,10.78,3.744709415,63.08500135,21.91419281,0.717200016,0.249137816,0.650400006,0.225933119,63.08500135,21.91419281,0.371613137,0.428039191,0.33928056,52,136,52,227,227,274,0.46,0.33,0.49,2.1192,1.3346,1.7421
02GA015,BEAR CREEK BELOW BRIGDEN,Canada,535.608101,42.81203,-82.29842,70.400002,11.35636328,16,2.580991582,70.400002,11.35636328,1.64,0.264551637,1.64,0.264551637,1.71,0.275843475,3.5799999,0.57749685,2.21,0.356499462,4.6300001,0.746874455,18.0200006,2.906841866,9.91599988,1.599569514,22.53500045,3.635165404,1.79,0.288748433,1.68600002,0.271971991,22.53500045,3.635165404,0.468589812,0.481133238,0.442549341,53,125,53,227,227,299,0.17,0.11,0.2,1.1892,0.8263,1.1137
02GA016,BLACK CREEK NEAR BRADSHAW,Canada,213.3575584,42.76244,-82.25922,160,64.79264247,25.6,10.3668228,160,64.79264247,2.95,1.194614346,4.2600002,1.725104187,2.95,1.194614346,5.0100002,2.028819698,4.8899999,1.980225095,5.57500005,2.257618656,43.5199996,17.62359859,9.23600026,3.740155392,65.2799989,26.43539768,3.3820001,1.369554521,4.3800001,1.773698628,65.2799989,26.43539768,0.369794275,0.357480298,0.324830433,53,137,53,300,216,300,0.27,0.12,0.31,1.6583,0.439,1.5252
02GA018,LITTLE RIVER AT WINDSOR,Canada,55.2569403,42.30986,-82.9285,305,476.8993697,19.299999,30.17756511,305,476.8993697,0.33199999,0.519116675,0.33199999,0.519116675,0.79500002,1.243065601,2.45,3.830831002,0.83700001,1.308736974,4.06500005,6.356052333,24.7599992,38.71484594,4.78000002,7.474029497,31.52000035,49.2848141,0.476800006,0.745526631,0.4104,0.641703283,31.52000035,49.2848141,0.440223716,0.468090788,0.425612982,52,125,52,194,194,297,0.54,0.32,0.57,2.7919,1.3512,2.3287
02GA023,THAMES RIVER AT BYRON,Canada,3082.608824,42.9625,-81.33178,29.700001,0.832437793,2.6700001,0.074835317,29.700001,0.832437793,0.25299999,0.007091136,0.26499999,0.007427475,0.25299999,0.007091136,0.51499999,0.014434527,0.42699999,0.011968044,0.86899999,0.024356512,4.82600004,0.135264131,1.364,0.038230475,8.345999845,0.233923416,0.316400006,0.008868125,0.3602,0.01009576,8.345999845,0.233923416,0.469813631,0.423609649,0.457968061,52,124,52,293,211,293,0.39,0.15,0.44,2.0353,0.6466,1.794
02GA024,THAMES RIVER AT THAMESVILLE,Canada,4370.375881,42.54486,-81.96727,12.7,0.251072226,2.1099999,0.041713573,12.7,0.251072226,0.085000001,0.001680405,0.085000001,0.001680405,0.138,0.002728186,0.40799999,0.008065942,0.24699999,0.004883058,0.486000005,0.009607961,2.20600002,0.043611444,1.02,0.020164856,2.5115,0.049651015,0.1176,0.002324889,0.097999997,0.001937408,2.5115,0.049651015,0.453708278,0.474658663,0.435961627,51,124,51,195,195,4,0.44,0.45,0.43,1.4139,0.928,1.3058
02GA028,DINGMAN CREEK BELOW LAMBETH,Canada,148.5857904,42.93411,-81.35131,152,88.38530229,10.7,6.221860095,152,88.38530229,1.62,0.942001248,3.0599999,1.779335633,1.62,0.942001248,3.8900001,2.261966018,3.8199999,2.221262144,4.4949999,2.613762664,26.12,15.18831642,4.59800008,2.673655441,47.03500155,27.35001862,1.772,1.03038655,3.496,2.032861953,47.03500155,27.35001862,0.396595007,0.363990908,0.341059797,53,127,53,302,226,302,0.32,0.06,0.4,1.8573,0.2066,1.7643
02GA029,THAMES RIVER NEAR DUTTON,Canada,3815.707943,42.73069,-81.57747,31.799999,0.720055087,7.0999999,0.160767019,31.799999,0.720055087,0.44800001,0.010144173,0.44800001,0.010144173,0.60799998,0.013767091,1.5599999,0.035323456,0.83700001,0.018952394,1.975,0.044720404,6.07599994,0.13758034,3.96999994,0.089893671,7.198000065,0.16298606,0.54319999,0.012299809,0.513600004,0.011629569,7.198000065,0.16298606,0.468446631,0.483545492,0.426788408,52,125,52,252,252,299,0.2,0.14,0.23,1.2409,0.9281,1.1472
02GA030,MCGREGOR CREEK NEAR CHATHAM,Canada,203.7962393,42.3835,-82.09506,11.1,4.705876827,0.671,0.284472374,11.1,4.705876827,0.032000002,0.013566493,0.034000002,0.014414398,0.032000002,0.013566493,0.126,0.053418061,0.068999998,0.029252747,0.18000001,0.07631152,0.740200004,0.313809914,0.3268,0.138547797,0.98230001,0.416448906,0.043000001,0.018229974,0.037,0.015686256,0.98230001,0.416448906,0.452823616,0.46119792,0.440319014,51,124,51,1,192,1,0.59,0.37,0.64,2.5714,0.9272,2.3311
